,user_gender,referral_code_used,user_age,monthly_total_sell,EOP_Saham_AUM,EOP_Pasar_Uang_AUM,EOP_Pendapatan_Tetap_AUM,EOP_Campuran_AUM,EOP_total_invested_amount,EOP_profit_rate,user_vintage,predicted_score
6739,1,0,24.0,0.0,324398.0,200583.0,0.0,0.0,500000.0,4.9962,1.0,0.6394054908541696
6742,0,0,31.0,0.0,445227.0,70171.0,241290.0,0.0,710000.0,6.575774647887324,1.0,0.8136580305625388
6743,0,0,31.0,0.0,283723.0,10059.0,40212.0,0.0,320000.0,4.373125,1.0,0.7450947630125913
6744,1,0,25.0,-500000.0,4813029.0,0.0,0.0,0.0,4602222.0,4.580548265598661,1.0,0.613577125120716
6745,0,0,38.0,0.0,208076.0,602176.0,201399.0,0.0,1000000.0,1.1651,1.0,0.666951336446097
6746,0,1,20.0,-25000.0,43662.0,20061.0,60367.0,0.0,120000.0,3.408333333333333,1.0,0.5594896693296513
6748,1,0,23.0,0.0,2610548.0,573076.0,2462860.0,0.0,5400000.0,4.564518518518518,1.0,0.6306958023903394
6750,1,0,38.0,300000.0,1982118.0,1142680.0,2741017.0,399172.0,6200000.0,1.0481774193548388,1.0,0.5830891153491444
6754,1,0,21.0,-150000.0,43662.0,0.0,0.0,0.0,40000.0,9.155000000000001,1.0,0.7741609175395114
6755,0,0,25.0,0.0,0.0,10035.0,0.0,0.0,10000.0,0.35000000000000003,1.0,0.5492347205032571
6756,0,0,21.0,0.0,41706.0,20068.0,60327.0,0.0,120000.0,1.7508333333333337,1.0,0.5863489086429
6758,1,0,32.0,5000000.0,10552293.0,704236.0,5950121.0,5885953.0,22500000.0,2.633791111111111,1.0,0.6863083730815379
6760,1,0,31.0,0.0,895472.0,70174.0,301581.0,0.0,1200000.0,5.602250000000001,1.0,0.7031196794923698
6762,1,0,27.0,0.0,222699.0,20049.0,70221.0,0.0,300000.0,4.3229999999999995,1.0,0.6288225635430775
6773,0,0,33.0,0.0,0.0,100120.0,0.0,0.0,100000.0,0.12,1.0,0.5896566739462014
6776,0,1,61.0,0.0,0.0,0.0,100358.0,0.0,100000.0,0.35799999999999993,1.0,0.6769958335969293
6777,1,0,42.0,0.0,0.0,0.0,43044671.0,0.0,42875000.0,0.39573411078717197,1.0,0.8184022411618528
6778,0,0,28.0,0.0,0.0,0.0,503104.0,0.0,500000.0,0.6208,1.0,0.5836364436352509
6779,0,0,30.0,0.0,504244.0,3504687.0,1013523.0,0.0,5000000.0,0.44908,1.0,0.6113834004269026
6782,1,0,52.0,0.0,805298.0,110286.0,230792.0,0.0,1100000.0,4.216,1.0,0.7593263477103755
6783,1,0,43.0,0.0,65493.0,10036.0,30192.0,0.0,100000.0,5.721,1.0,0.7660436096001795
6788,0,0,46.0,0.0,2436878.0,2109283.0,0.0,0.0,4400000.0,3.321840909090909,1.0,0.7858658995824481
6791,0,0,28.0,0.0,0.0,0.0,50039.0,0.0,50000.0,0.078,1.0,0.5564003599313266
6792,1,0,33.0,0.0,76408.0,10036.0,20128.0,0.0,100000.0,6.572,1.0,0.7471317093199601
6793,1,1,56.0,0.0,0.0,31207938.0,0.0,0.0,31075236.0,0.42703456861920536,1.0,0.7149621632810779
6799,0,0,35.0,0.0,281782.0,30089.0,100482.0,0.0,400000.0,3.08825,1.0,0.720368817381406
6800,0,1,20.0,0.0,44135.0,10025.0,75301.0,0.0,125000.0,3.568799999999999,1.0,0.5669778337039586
6802,0,1,34.0,0.0,54577.0,10035.0,9424826.0,0.0,9425000.0,0.6836923076923077,1.0,0.5964504642614045
6808,1,0,42.0,1000000.0,2384392.0,512113.0,2216292.0,2022733.0,7000000.0,1.9361428571428572,1.0,0.6474872598320331
6821,0,0,19.0,0.0,48994.0,60107.0,30187.0,0.0,135000.0,3.1762962962962966,1.0,0.6350163571192718
6825,1,0,23.0,0.0,52891.0,10059.0,40212.0,0.0,100000.0,3.1620000000000004,1.0,0.553934361344692
6834,1,0,27.0,0.0,521830.0,0.0,0.0,0.0,500000.0,4.366,1.0,0.629602402235175
6839,1,0,42.0,0.0,4911836.0,0.0,16066877.0,0.0,21000000.0,-0.10136666666666666,1.0,0.6405927306588319
6840,0,0,35.0,-1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5990287095237947
6841,1,0,27.0,0.0,53697.0,10019.0,40171.0,0.0,100000.0,3.8869999999999996,1.0,0.6103626501881385
6847,1,0,35.0,0.0,307312.0,50263.0,170882.0,0.0,500000.0,5.6914,1.0,0.7271015089852847
6850,1,0,25.0,-400000.0,105272.0,0.0,0.0,0.0,100000.0,5.272,1.0,0.6506982925732286
6852,0,0,45.0,0.0,48806.0,10007.0,40019.0,0.0,100000.0,-1.168,1.0,0.6073819631257291
6853,0,0,37.0,0.0,3796479.0,10004.0,50131.0,0.0,3840000.0,0.43265624999999996,1.0,0.6225767529260342
